"BAnTr","coding.noncoding"
"BAnTr.GP.1HG000002","coding"
"BAnTr.GP.1HG000004","noncoding"
"BAnTr.GP.1HG000006","noncoding"
"BAnTr.GP.1HG000008","coding"
"BAnTr.GP.1HG000010","coding"
"BAnTr.GP.1HG000012","coding"
"BAnTr.GP.1HG000014","undefined"
"BAnTr.GP.1HG000016","noncoding"
"BAnTr.GP.1HG000018","noncoding"
"BAnTr.GP.1HG000020","noncoding"
"BAnTr.GP.1HG000022","coding"
"BAnTr.GP.1HG000024","coding"
"BAnTr.GP.1HG000026","coding"
"BAnTr.GP.1HG000028","coding"
"BAnTr.GP.1HG000030","coding"
"BAnTr.GP.1HG000032","coding"
"BAnTr.GP.1HG000034","coding"
"BAnTr.GP.1HG000036","noncoding"
"BAnTr.GP.1HG000038","coding"
"BAnTr.GP.1HG000040","coding"
"BAnTr.GP.1HG000042","noncoding"
"BAnTr.GP.1HG000044","coding"
"BAnTr.GP.1HG000046","coding"
"BAnTr.GP.1HG000048","coding"
"BAnTr.GP.1HG000050","noncoding"
"BAnTr.GP.1HG000052","undefined"
"BAnTr.GP.1HG000054","coding"
"BAnTr.GP.1HG000056","noncoding"
"BAnTr.GP.1HG000058","coding"
"BAnTr.GP.1HG000060","noncoding"
"BAnTr.GP.1HG000062","coding"
"BAnTr.GP.1HG000064","coding"
"BAnTr.GP.1HG000066","coding"
"BAnTr.GP.1HG000068","noncoding"
"BAnTr.GP.1HG000070","coding"
"BAnTr.GP.1HG000072","noncoding"
"BAnTr.GP.1HG000074","coding"
"BAnTr.GP.1HG000076","coding"
"BAnTr.GP.1HG000078","coding"
"BAnTr.GP.1HG000080","coding"
"BAnTr.GP.1HG000082","coding"
"BAnTr.GP.1HG000084","noncoding"
"BAnTr.GP.1HG000086","coding"
"BAnTr.GP.1HG000088","coding"
"BAnTr.GP.1HG000090","coding"
"BAnTr.GP.1HG000092","noncoding"
"BAnTr.GP.1HG000094","coding"
"BAnTr.GP.1HG000096","noncoding"
"BAnTr.GP.1HG000098","noncoding"
"BAnTr.GP.1HG000100","coding"
"BAnTr.GP.1HG000102","coding"
"BAnTr.GP.1HG000104","noncoding"
"BAnTr.GP.1HG000106","coding"
"BAnTr.GP.1HG000108","coding"
"BAnTr.GP.1HG000110","coding"
"BAnTr.GP.1HG000112","coding"
"BAnTr.GP.1HG000114","undefined"
"BAnTr.GP.1HG000116","noncoding"
"BAnTr.GP.1HG000118","noncoding"
"BAnTr.GP.1HG000120","noncoding"
"BAnTr.GP.1HG000122","undefined"
"BAnTr.GP.1HG000124","undefined"
"BAnTr.GP.1HG000126","noncoding"
"BAnTr.GP.1HG000128","noncoding"
"BAnTr.GP.1HG000130","noncoding"
"BAnTr.GP.1HG000132","noncoding"
"BAnTr.GP.1HG000134","noncoding"
"BAnTr.GP.1HG000136","noncoding"
"BAnTr.GP.1HG000138","noncoding"
"BAnTr.GP.1HG000140","noncoding"
"BAnTr.GP.1HG000142","undefined"
"BAnTr.GP.1HG000144","coding"
"BAnTr.GP.1HG000146","undefined"
"BAnTr.GP.1HG000148","noncoding"
"BAnTr.GP.1HG000150","noncoding"
"BAnTr.GP.1HG000152","noncoding"
"BAnTr.GP.1HG000154","undefined"
"BAnTr.GP.1HG000156","noncoding"
"BAnTr.GP.1HG000158","noncoding"
"BAnTr.GP.1HG000160","noncoding"
"BAnTr.GP.1HG000162","coding"
"BAnTr.GP.1HG000164","coding"
"BAnTr.GP.1HG000166","coding"
"BAnTr.GP.1HG000168","noncoding"
"BAnTr.GP.1HG000170","noncoding"
"BAnTr.GP.1HG000172","coding"
"BAnTr.GP.1HG000174","coding"
"BAnTr.GP.1HG000176","noncoding"
"BAnTr.GP.1HG000178","coding"
"BAnTr.GP.1HG000180","noncoding"
"BAnTr.GP.1HG000182","coding"
"BAnTr.GP.1HG000184","noncoding"
"BAnTr.GP.1HG000186","noncoding"
"BAnTr.GP.1HG000188","noncoding"
"BAnTr.GP.1HG000190","coding"
"BAnTr.GP.1HG000192","coding"
"BAnTr.GP.1HG000194","noncoding"
"BAnTr.GP.1HG000196","coding"
"BAnTr.GP.1HG000198","coding"
"BAnTr.GP.1HG000200","coding"
"BAnTr.GP.1HG000202","noncoding"
"BAnTr.GP.1HG000204","noncoding"
"BAnTr.GP.1HG000206","coding"
"BAnTr.GP.1HG000208","coding"
"BAnTr.GP.1HG000210","coding"
"BAnTr.GP.1HG000212","noncoding"
"BAnTr.GP.1HG000214","coding"
"BAnTr.GP.1HG000216","coding"
"BAnTr.GP.1HG000218","noncoding"
"BAnTr.GP.1HG000220","coding"
"BAnTr.GP.1HG000222","coding"
"BAnTr.GP.1HG000224","noncoding"
"BAnTr.GP.1HG000226","coding"
"BAnTr.GP.1HG000228","noncoding"
"BAnTr.GP.1HG000230","coding"
"BAnTr.GP.1HG000232","coding"
